,50,75,100,125,150
2000,0.2933727311101731,0.3810082063305979,0.43727598566308246,0.5054151624548736,0.5732484076433121
2275,0.24852494189165028,0.3017832647462277,0.3421461897356143,0.398686679174484,0.4271356783919598
2550,0.2219029374201788,0.25391370752195497,0.28053153343176546,0.33872444308819044,0.3404592240696754
2825,0.20662999851345326,0.22749590834697217,0.2427536231884058,0.28106508875739644,0.30294287362954414
3100,0.19643866591294518,0.20867737576940398,0.220494923857868,0.24474811339995922,0.2551693796744391
