,300,376,453,530,606,683,760,836,913,990
1200,13,13,12,9,8,5,5,4,4,4
1366,13,13,12,9,8,5,5,4,4,4
1533,12,11,8,8,8,7,8,8,6,5
1700,12,11,8,8,8,7,8,8,6,5
1866,12,11,8,8,8,7,8,8,6,5
2033,9,7,9,8,7,7,6,6,7,6
2200,9,7,9,8,7,7,6,6,7,6
2366,5,6,7,5,6,6,6,5,5,6
2533,5,6,7,5,6,6,6,5,5,6
2700,5,6,7,5,6,6,6,5,5,6
