ID,X,Y,Elevation,Slope,Population,Land_cover,Road_dist,River_flow,Protected_area
0,180900.00320529932,8118998.190925509,316,4.244286,0.0,126,1800.4261998087673,,False
1,181900.00320529932,8118998.190925509,325,4.3226547,0.0,126,972.4133011325653,,False
2,182900.00320529932,8118998.190925509,330,3.6397045,0.0,114,519.7183360191842,,False
3,183900.00320529932,8118998.190925509,318,3.2892907,0.0,126,330.78667239300177,,False
4,184900.00320529932,8118998.190925509,318,3.2892907,0.0,126,975.9894543329056,,False
5,185900.00320529932,8118998.190925509,299,3.0207107,0.0,124,1533.537400163355,,False
6,186900.00320529932,8118998.190925509,289,3.3210406,0.0,124,697.1223746205229,,False
7,187900.00320529932,8118998.190925509,290,3.159343,0.0,40,28.14866322871264,,False
8,188900.00320529932,8118998.190925509,282,3.2412183,0.0,40,179.6338962957708,,False
9,189900.00320529932,8118998.190925509,270,3.0185235,0.0,126,381.643722233213,,False
10,190900.00320529932,8118998.190925509,259,3.2409754,0.0,126,342.19483092153393,,False
11,191900.00320529932,8118998.190925509,256,3.3186717,0.0,20,842.5748688120747,,False
12,192900.00320529932,8118998.190925509,242,3.5520551,0.0,126,1320.476183554783,,False
13,193900.00320529932,8118998.190925509,235,4.008052,0.0,114,1454.5188343192685,,False
14,194900.00320529932,8118998.190925509,251,4.4997535,0.0,126,1444.2605911332255,,False
15,195900.00320529932,8118998.190925509,269,3.9881954,0.0,126,1683.2963815757594,,False
16,196900.00320529932,8118998.190925509,273,3.2501807,0.0,114,1107.819521538516,,False
17,197900.00320529932,8118998.190925509,268,3.5880487,0.0,114,917.8621377122022,,False
18,198900.00320529932,8118998.190925509,281,3.4385622,0.0,124,1471.8617921307066,,False
19,199900.00320529932,8118998.190925509,296,3.1434767,0.0,114,789.3887964098989,,False
20,200900.00320529932,8118998.190925509,302,2.6491425,0.0,126,187.1041873448906,,False
21,201900.00320529932,8118998.190925509,298,3.037489,0.0,124,309.04068078779756,,False
22,202900.00320529932,8118998.190925509,285,3.377788,0.0,126,148.70888740544768,,False
23,203900.00320529932,8118998.190925509,283,5.5944743,0.0,114,1030.5819495180115,,False
24,204900.00320529932,8118998.190925509,274,5.003193,0.0,114,1972.2187951989727,,False
25,205900.00320529932,8118998.190925509,271,5.4823313,0.0,126,2398.613716455629,,False
26,206900.00320529932,8118998.190925509,297,6.9213943,0.0,114,2590.5994410496587,,False
27,207900.00320529932,8118998.190925509,292,3.8813822,0.0,114,3063.077969285674,,False
28,208900.00320529932,8118998.190925509,276,3.6358652,0.0,114,3743.5365581475635,,False
29,209900.00320529932,8118998.190925509,266,3.602864,0.0,114,4543.752334629537,,False
30,210900.00320529932,8118998.190925509,256,3.6627214,0.0,114,5407.761583783084,,False
31,211900.00320529932,8118998.190925509,262,3.669381,0.0,124,6311.385634710368,,False
32,212900.00320529932,8118998.190925509,259,4.015845,0.0,114,7240.393077244956,,False
33,213900.00320529932,8118998.190925509,244,3.930534,0.0,114,8186.146541322416,,False
34,214900.00320529932,8118998.190925509,224,3.6189308,0.0,114,8912.127162464625,,False
35,215900.00320529932,8118998.190925509,209,4.065367,0.0,114,7917.843812932288,,False
36,216900.00320529932,8118998.190925509,222,4.2219043,0.0,114,6925.206908969613,,False
37,217900.00320529932,8118998.190925509,235,3.8888845,0.0,114,5935.042612997048,,False
38,218900.00320529932,8118998.190925509,232,3.7045677,0.0,114,4948.835307841753,,False
39,219900.00320529932,8118998.190925509,225,3.4654877,0.0,114,3969.535362002905,,False
40,220900.00320529932,8118998.190925509,222,3.4325645,0.0,114,3003.905969940119,,False
41,221900.00320529932,8118998.190925509,239,4.076802,0.0,114,2071.156962253765,,False
42,222900.00320529932,8118998.190925509,250,3.8697844,0.0,114,1203.011329793132,,False
43,223900.00320529932,8118998.190925509,254,3.7395961,0.0,114,257.2310725026749,,False
44,224900.00320529932,8118998.190925509,259,3.5501068,0.0,114,65.43062350405131,,False
45,225900.00320529932,8118998.190925509,254,3.3920536,0.0,114,271.19191165109385,,False
46,226900.00320529932,8118998.190925509,236,3.2327492,0.0,114,319.6884399640696,,False
47,227900.00320529932,8118998.190925509,228,3.5844097,0.0,114,597.7086744471266,,False
48,228900.00320529932,8118998.190925509,230,3.7701182,0.0,114,587.1191319269639,,False
49,229900.00320529932,8118998.190925509,234,3.6824834,0.0,114,106.43683263435129,,False
50,230900.00320529932,8118998.190925509,250,3.5137885,0.0,114,507.7060817503057,,False
51,231900.00320529932,8118998.190925509,257,3.186824,0.0,114,1063.0707993436192,,False
52,232900.00320529932,8118998.190925509,245,3.0776465,0.0,114,1611.83327831729,,False
53,233900.00320529932,8118998.190925509,234,3.5544794,0.0,114,1552.304021630446,,False
54,234900.00320529932,8118998.190925509,214,3.2732284,0.0,114,1387.4397958280217,,False
55,235900.00320529932,8118998.190925509,202,3.3626118,0.0,114,1382.8993645125674,,False
56,236900.00320529932,8118998.190925509,194,4.5000234,0.0,114,1468.1702933983586,,False
57,237900.00320529932,8118998.190925509,197,3.6645918,0.0,114,2003.4660474339016,,False
58,238900.00320529932,8118998.190925509,193,3.8155913,0.0,114,2371.008366300391,,False
59,239900.00320529932,8118998.190925509,188,3.5643766,0.0,114,1506.424352023948,,False
60,240900.00320529932,8118998.190925509,184,2.9322166,0.0,114,957.5740095027085,,False
61,241900.00320529932,8118998.190925509,179,3.079549,0.0,114,1250.8323784502122,,False
62,242900.00320529932,8118998.190925509,173,4.0977974,0.0,114,2052.3682160576686,,False
63,243900.00320529932,8118998.190925509,179,4.2691035,0.0,114,2186.8972970208133,,False
64,244900.00320529932,8118998.190925509,192,3.287093,0.0,114,2364.311404113828,,False
65,245900.00320529932,8118998.190925509,197,3.0403466,0.0,114,2596.2468210472516,,False
66,246900.00320529932,8118998.190925509,208,3.5056112,0.0,114,2888.397919350532,,False
67,247900.00320529932,8118998.190925509,216,3.3655329,0.0,114,3446.8959622572443,,False
68,248900.00320529932,8118998.190925509,217,3.380414,0.0,114,3857.6509735352342,,False
69,249900.00320529932,8118998.190925509,205,3.5129914,0.0,114,4441.362349407745,,False
70,250900.00320529932,8118998.190925509,198,3.3845224,0.0,114,5153.675246855784,,False
71,251900.00320529932,8118998.190925509,195,3.295325,0.0,114,5212.657449990059,,False
72,252900.00320529932,8118998.190925509,195,3.2736685,0.0,114,4258.958976726164,,False
73,253900.00320529932,8118998.190925509,208,3.780915,0.0,114,3332.5163825457626,,False
74,254900.00320529932,8118998.190925509,229,3.6093178,0.0,114,2464.264457081548,,False
75,255900.00320529932,8118998.190925509,216,3.7492054,0.0,114,1743.4257050229967,,False
76,256900.00320529932,8118998.190925509,196,3.4306252,0.0,114,950.8766239861784,,False
77,257900.00320529932,8118998.190925509,188,3.2493873,0.0,126,6.567975345576744,,False
78,180900.00320529932,8119998.190925509,321,4.211242,0.0,126,2198.750511810471,,False
79,181900.00320529932,8119998.190925509,333,4.2030087,0.0,114,1209.626249504084,,False
80,182900.00320529932,8119998.190925509,331,3.1313474,0.0,126,257.84239191114904,,False
81,183900.00320529932,8119998.190925509,317,3.4720154,0.0,114,648.6395081435273,,False
82,184900.00320529932,8119998.190925509,317,3.4720154,0.0,126,1617.7962614708429,,False
83,185900.00320529932,8119998.190925509,305,3.187511,0.0,114,1087.6126613152828,,False
84,186900.00320529932,8119998.190925509,309,3.6225996,0.0,124,227.3726751512575,,False
85,187900.00320529932,8119998.190925509,300,3.1141288,0.0,114,703.161105393897,,False
86,188900.00320529932,8119998.190925509,293,3.1911616,0.0,114,1177.59779372853,,False
87,189900.00320529932,8119998.190925509,280,3.1411889,0.0,126,1102.035018810897,,False
88,190900.00320529932,8119998.190925509,275,3.3969772,0.0,124,398.8887987699425,,False
89,191900.00320529932,8119998.190925509,273,3.3456159,0.0,126,129.19681072472986,,False
90,192900.00320529932,8119998.190925509,251,3.4855225,0.0,126,541.4653087340395,,False
91,193900.00320529932,8119998.190925509,242,3.9960492,0.0,40,628.4401720522693,,False
92,194900.00320529932,8119998.190925509,262,3.739967,0.0,114,579.1254822584674,,False
93,195900.00320529932,8119998.190925509,271,3.4616673,0.0,124,848.6217465974657,,False
94,196900.00320529932,8119998.190925509,276,2.9693775,0.0,114,291.2930984732953,,False
95,197900.00320529932,8119998.190925509,274,2.7809515,0.0,114,228.4626540578507,,False
96,198900.00320529932,8119998.190925509,281,2.832552,0.0,114,472.2033342954705,,False
97,199900.00320529932,8119998.190925509,294,3.0578616,0.0,114,589.2263749980045,,False
98,200900.00320529932,8119998.190925509,306,2.828706,0.0,124,230.60993679172816,,False
99,201900.00320529932,8119998.190925509,303,3.114458,0.0,114,331.9853125851858,,False
100,202900.00320529932,8119998.190925509,289,2.8104522,0.0,114,58.26381168586842,,False
101,203900.00320529932,8119998.190925509,282,2.9144444,0.0,114,909.2185695957309,,False
102,204900.00320529932,8119998.190925509,282,3.7142346,0.0,114,1415.4581797415506,,False
103,205900.00320529932,8119998.190925509,281,4.0085745,0.0,114,1433.4014489195508,,False
104,206900.00320529932,8119998.190925509,287,4.0586243,0.0,116,1676.6713078436114,,False
105,207900.00320529932,8119998.190925509,298,3.6090488,0.0,114,2334.260868572919,,False
106,208900.00320529932,8119998.190925509,295,3.3056257,0.0,114,3172.249315586025,,False
107,209900.00320529932,8119998.190925509,281,3.4049983,0.0,114,4080.792692997806,,False
108,210900.00320529932,8119998.190925509,266,3.1151338,0.0,114,5024.198671053183,,False
109,211900.00320529932,8119998.190925509,265,3.1314678,0.0,114,5983.918640114007,,False
110,212900.00320529932,8119998.190925509,253,3.7614348,0.0,114,6954.7886555625655,,False
111,213900.00320529932,8119998.190925509,236,3.4781082,0.0,114,7932.899104084184,,False
112,214900.00320529932,8119998.190925509,222,3.3899288,0.0,114,8496.267685615368,,False
113,215900.00320529932,8119998.190925509,217,4.22752,0.0,114,7786.066873112102,,False
114,216900.00320529932,8119998.190925509,225,4.469844,0.0,114,6831.500994557549,,False
115,217900.00320529932,8119998.190925509,250,3.984075,0.0,114,5839.771871952658,,False
116,218900.00320529932,8119998.190925509,255,4.228544,0.0,114,4841.943268369579,,False
117,219900.00320529932,8119998.190925509,249,4.108759,0.0,114,3844.2031794484737,,False
118,220900.00320529932,8119998.190925509,234,3.7028186,0.0,114,2848.048727752745,,False
119,221900.00320529932,8119998.190925509,236,3.4782653,0.0,114,1856.034758948847,,False
120,222900.00320529932,8119998.190925509,251,3.5991652,0.0,114,868.7898359145116,,False
121,223900.00320529932,8119998.190925509,268,3.1583548,0.0,114,135.2245970170507,,False
122,224900.00320529932,8119998.190925509,262,3.0603905,0.0,114,320.0992789267208,,False
123,225900.00320529932,8119998.190925509,248,3.404799,0.0,114,1182.5472655835604,,False
124,226900.00320529932,8119998.190925509,241,3.7078915,0.0,114,1317.29664994965,,False
125,227900.00320529932,8119998.190925509,239,3.602076,0.0,114,1596.2307020068781,,False
126,228900.00320529932,8119998.190925509,249,3.6616747,0.0,114,1518.4114878693474,,False
127,229900.00320529932,8119998.190925509,242,3.5350847,0.0,114,873.455437312862,,False
128,230900.00320529932,8119998.190925509,253,3.56572,0.0,114,308.63698949838636,,False
129,231900.00320529932,8119998.190925509,266,3.3787234,0.0,114,236.05361701558547,,False
130,232900.00320529932,8119998.190925509,248,3.466828,0.0,114,657.903528456356,,False
131,233900.00320529932,8119998.190925509,231,3.2621396,0.0,114,562.1113454324321,,False
132,234900.00320529932,8119998.190925509,220,3.216188,0.0,114,395.60340391429514,,False
133,235900.00320529932,8119998.190925509,202,2.9928277,0.0,114,427.9807506856059,,False
134,236900.00320529932,8119998.190925509,195,3.4277492,0.0,114,598.3857507964893,,False
135,237900.00320529932,8119998.190925509,206,3.0887153,0.0,114,1183.4706773330493,,False
136,238900.00320529932,8119998.190925509,200,3.0484817,0.0,114,1543.65701436809,,False
137,239900.00320529932,8119998.190925509,196,3.0469556,0.0,114,1152.3374035154493,,False
138,240900.00320529932,8119998.190925509,192,2.9309058,0.0,114,185.72782561340975,,False
139,241900.00320529932,8119998.190925509,182,4.0653353,0.0,114,795.5827478247791,,False
140,242900.00320529932,8119998.190925509,181,4.275868,0.0,114,1227.0436880195355,,False
141,243900.00320529932,8119998.190925509,194,4.163755,0.0,114,1198.9890308057632,,False
142,244900.00320529932,8119998.190925509,209,3.9522269,0.0,114,1427.1840078124173,,False
143,245900.00320529932,8119998.190925509,215,3.6438918,0.0,114,1617.1920182052052,,False
144,246900.00320529932,8119998.190925509,211,3.5962696,0.0,114,2038.0282770029064,,False
145,247900.00320529932,8119998.190925509,218,3.475214,0.0,114,2518.013208738318,,False
146,248900.00320529932,8119998.190925509,217,2.9894154,0.0,114,3032.047463077548,,False
147,249900.00320529932,8119998.190925509,209,3.4112513,0.0,114,3745.3946186847043,,False
148,250900.00320529932,8119998.190925509,211,3.5956752,0.0,114,4503.7429931131755,,False
149,251900.00320529932,8119998.190925509,207,3.2415946,0.0,114,5033.7852883699,,False
150,252900.00320529932,8119998.190925509,207,3.500083,0.0,114,4038.05995546237,,False
151,253900.00320529932,8119998.190925509,221,3.980842,0.0,114,3045.1374481964317,,False
152,254900.00320529932,8119998.190925509,232,3.9237382,0.0,114,2059.0764805873027,,False
153,255900.00320529932,8119998.190925509,216,4.2241817,0.0,114,1098.5125522302017,,False
154,256900.00320529932,8119998.190925509,196,4.0197315,0.0,114,416.72977084296497,,False
155,257900.00320529932,8119998.190925509,194,3.5247307,0.0,114,96.01338095207302,,False
156,258900.00320529932,8119998.190925509,209,3.4283655,0.0,20,8.007700169920142,,False
157,259900.00320529932,8119998.190925509,225,3.6144507,0.0,126,29.5071195081064,,False
158,260900.00320529932,8119998.190925509,234,4.1404934,0.0,114,203.6759222435137,,False
159,261900.00320529932,8119998.190925509,232,4.071141,0.0,126,162.23685930670345,,False
160,262900.0032052993,8119998.190925509,216,4.2705207,0.0,114,408.1804565607833,,False
161,263900.0032052993,8119998.190925509,207,4.0784173,0.0,114,1245.53146565079,,False
162,264900.0032052993,8119998.190925509,195,4.1629276,0.0,114,2211.8479502657988,,False
163,265900.0032052993,8119998.190925509,187,3.8913474,0.0,114,1866.2818877606453,,False
164,266900.0032052993,8119998.190925509,201,4.211923,0.0,114,1283.2839576337444,,False
165,267900.0032052993,8119998.190925509,209,4.911736,0.0,114,1083.9431261194684,,False
166,268900.0032052993,8119998.190925509,204,4.7144527,0.0,114,1539.2648541781944,,False
