ID,X,Y,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster
6765,212182.6008,8543328.525,20,332.3510132,3.557231883,1,,,7952.451082,9
6772,212307.576,8540323.893,38,341.868988,6.075942495,1,,,5224.28687,9
6769,212305.6724,8537076.49,27,348.4819946,1.593906212,1,,,2151.595746,9
4414,212657.9111,8530673.87,0,380.8479919,2.604178138,1,,,587.2013651,9
4412,212566.7235,8528490.628,12,406.5509949,2.836333956,1,,,110.0971309,9
4409,212803.6961,8525103.106,16,436.8500061,2.735991904,1,,,2718.329664,9
4406,213053.7037,8522439.084,0,463.1300049,2.990630343,5,,,4437.678145,9
4351,212813.7144,8515097.023,0,1060.619995,6.03346831,1,,,36.88400856,
4347,211883.0882,8512001.037,0,1141.97998,2.261189301,1,,,102.3893006,
4296,211105.957,8508395.638,0,1198.359985,8.011591513,1,,,2401.446731,
4245,211063.5387,8504450.507,0,1188.02002,8.909249976,5,,,5373.137858,
4241,211063.5387,8500450.507,0,1001.72998,11.96139499,1,,,4015.092273,2
4237,211063.5387,8496450.507,0,1055.109985,2.178747828,5,,,519.4683827,2
4233,211063.5387,8492450.507,34,1026.48999,4.154287423,1,,,966.6706326,2
4229,211063.5387,8488450.507,11,1098.189941,18.76442758,1,,,2552.034317,2
4225,211063.5387,8484450.507,31,795.0830078,26.3192412,5,,,4336.975013,2
4221,211063.5387,8480450.507,46,601.6569824,12.93070875,1,,,818.1582329,2
4172,211063.5387,8476450.507,0,538.0960083,1.874199321,1,,,195.4390195,2
4167,211063.5387,8472450.507,10,526.6240234,6.512176712,1,,,247.8704561,2
4163,211063.5387,8468450.507,21,502.8429871,3.945991845,1,,,644.3852927,2
853,211063.5387,8464450.507,13,508.0150146,7.065386485,1,,,449.6325208,2
849,211063.5387,8460450.507,0,495.1390076,2.025779261,1,,,1062.336106,
845,211063.5387,8456450.507,0,518.4819946,1.393835024,1,,,1653.627296,
841,211063.5387,8452450.507,0,884.8049927,16.72642978,1,,,2477.89276,
818,211063.5387,8448450.507,0,878.0250244,25.99375429,6,,,2469.107824,
211,211084.3849,8444724.779,0,1184.72998,3.257741161,1,,,4310.706197,
6828,215268.1251,8547880.921,25,326.9030151,1.701883244,1,,,11232.5689,9
6825,215092.069,8544440.023,5,367.8179932,1.278617546,1,,,7867.513896,9
6821,215063.5387,8540450.507,0,362.9140015,2.849158662,1,,,4044.730263,9
6798,215065.2637,8536452.233,7,382.82901,1.943830866,1,,,932.8654118,9
6794,215195.564,8532449.07,46,391.9299927,2.637004381,5,,,1138.381378,9
4542,215063.5387,8528450.507,6,412.9370117,1.310118278,1,,,2422.152326,9
4538,215063.5387,8524450.507,48,484.4049988,8.409712384,5,,,4229.132624,9
4600,215763.9746,8520860.301,0,613.4210205,23.6388285,5,,,2084.227747,9
4596,215294.041,8516264.172,0,1057.150024,20.36074327,1,,,1302.480179,
