ID,X,Y,Population,Elevation,Slope,Land_cover,River_flow,NAME,Road_dist
6341,244012.4439,8502752.174,0,459.3970032,24.56406948,1,,,4762.404887
6342,243978.8446,8503737.194,1,385.4790039,3.959838277,1,,,4249.961046
6343,243945.2514,8504722.212,0,383.4309998,2.701569152,1,,,3888.53874
6344,243911.6641,8505707.226,0,420.9049988,1.718216471,1,,,3464.580993
6345,243878.0829,8506692.237,0,408.4750061,2.456959369,1,,,3113.592159
6346,243844.5076,8507677.245,0,376.3529968,1.876618576,1,,,2973.80116
6347,243810.9384,8508662.25,0,395.2149963,4.867505657,1,,,2914.352827
6348,243777.3751,8509647.252,0,373.1960144,3.856417133,1,,,2063.05926
6349,243743.8179,8510632.251,13,385.8880005,2.198349573,1,,,1400.032289
6350,243710.2667,8511617.247,0,399.5629883,6.835825156,1,,,947.7489793
6351,243676.7215,8512602.24,0,541.0819702,21.61929988,1,,,918.1225928
6352,243643.1823,8513587.23,0,769.1450195,25.36670783,1,,,1149.076931
6353,243609.6491,8514572.217,0,823.4630127,12.37948499,1,,,1423.888464
6354,243576.122,8515557.202,10,608.3300171,5.329927446,1,,,1657.681666
6355,243542.6008,8516542.183,0,702.4520264,10.72645198,5,,,2003.65871
6356,243509.0857,8517527.162,0,649.6539917,9.147222672,1,,,1445.403852
6357,243475.5766,8518512.137,4,671.0939941,10.16828338,1,,,487.3968565
6358,243442.0735,8519497.11,0,669.177002,15.65030049,1,,,233.9555864
6359,243408.5764,8520482.081,0,695.4130249,21.801336,1,,,188.8853646
6360,243375.0853,8521467.048,0,501.3450012,18.41605018,1,,,405.9684846
6361,243341.6003,8522452.013,3,505.1080017,16.58635751,1,,,331.8515266
6362,243308.1214,8523436.975,0,603.598999,17.50373429,1,,,1315.384757
6363,243274.6485,8524421.934,0,603.039978,7.282066599,1,,,1993.266951
6364,243241.1815,8525406.891,0,659.4489746,18.4916683,1,,,2399.228043
6365,243207.7207,8526391.845,0,566.3699951,23.64187513,1,,,2681.223858
6366,243174.2658,8527376.796,0,443.9530029,24.9690352,5,,,3197.603473
6367,243083.1555,8528318.418,0,388.4530029,11.15231051,5,,,3537.456034
6368,242741.1227,8529151.851,0,337.6700134,15.57124059,5,,,3608.450041
6369,242587.2008,8530769.415,7,329.5270081,4.604572727,1,,,4600.876292
6370,242746.1544,8531295.477,2,430.9570007,20.66086377,1,,,5114.013359
6371,242588.29,8531925.025,16,343.6080017,11.74038343,5,,,5547.898893
6372,246240.7367,8467322.53,0,1137.540039,9.577730121,1,,,1691.178854
6373,246206.9277,8468307.674,0,1056.829956,15.16128478,5,,,770.8419457
6374,246173.1246,8469292.814,0,827.8770142,9.412433364,5,,,108.3533614
6375,246139.3274,8470277.95,0,927.5109863,28.9883399,5,,,626.8121083
6376,246037.9713,8473233.335,0,832.8309937,3.121761661,1,,,982.5632204
6377,246004.1978,8474218.455,0,858.7689819,1.261462123,1,,,13.77362715
6378,245970.4302,8475203.571,0,840.184021,6.660336141,1,,,955.0264152
6379,245936.6685,8476188.684,0,885.1149902,13.65843974,1,,,1923.23179
6380,245902.9128,8477173.793,0,1160,16.50399543,1,,,2890.161601
6381,245869.1629,8478158.897,0,1241.790039,1.497028639,1,,,3857.092912
6382,245835.419,8479143.999,0,1159.430054,8.889115899,1,,,4577.865108
6383,245801.681,8480129.096,0,1092.180054,2.783337503,1,,,3962.441856
6384,245767.949,8481114.19,0,1080.680054,1.331836021,1,,,3441.878452
6385,245734.2229,8482099.279,0,1091.900024,6.746340093,1,,,3120.825254
6386,245700.5027,8483084.366,0,1042.5,9.900933894,1,,,3013.086746
6387,245666.7885,8484069.448,0,961.8049927,9.841116019,1,,,2955.205965
6388,245633.0802,8485054.527,0,905.78302,13.77871882,1,,,3090.302268
6389,245599.3779,8486039.602,0,826.5670166,14.97188871,5,,,3508.298092
6390,245565.6815,8487024.674,0,687.2310181,3.597227248,5,,,4124.049068
6391,245531.991,8488009.742,0,747.90802,26.2370968,5,,,4863.005283
6392,245498.3065,8488994.807,0,895.5720215,13.73523927,5,,,5677.257361
6393,245464.6279,8489979.868,0,881.9229736,12.87327055,5,,,6538.734589
6394,245430.9553,8490964.925,0,768.4489746,39.91885974,5,,,6416.637335
6395,245397.2886,8491949.98,0,485.7460022,6.153082584,5,,,6481.112141
6396,245363.6279,8492935.03,0,436.8670044,3.627338207,5,,,6691.617535
6397,245329.9731,8493920.078,0,435.6090088,2.010862349,1,,,7035.055341
6398,245296.3243,8494905.121,0,447.618988,3.464347528,1,,,7282.442504
6399,245262.6814,8495890.162,0,523.0880127,8.014206741,1,,,6766.82511
6400,245229.0445,8496875.199,0,941.5780029,29.67548178,1,,,6231.331014
6401,245195.4136,8497860.233,0,824.8579712,21.59705578,1,,,5805.849199
6402,245161.7887,8498845.263,0,665.6870117,23.64614861,1,,,5412.034049
6403,245128.1696,8499830.29,0,690.882019,29.33242233,1,,,4975.147766
6404,245094.5566,8500815.314,0,761.0440063,30.20522717,1,,,4658.359675
6405,245060.9495,8501800.335,0,618.322998,15.40600348,1,,,4339.291926
6406,245027.3484,8502785.353,0,460.2099915,5.768103218,1,,,3971.496181
6407,244993.7533,8503770.367,0,408.605011,6.476668536,1,,,3366.25089
6408,244960.1641,8504755.378,26,373.7900085,2.691331822,1,,,2922.731408
6409,244926.5809,8505740.386,0,410.7739868,8.711055655,1,,,2597.736174
6410,244893.0037,8506725.391,0,397.5220032,3.202969228,1,,,2134.966642
6411,244859.4325,8507710.393,0,368.82901,3.804537004,1,,,1960.400593
6412,244825.8672,8508695.392,18,369.9049988,1.879342396,1,,,2069.065902
6413,244792.3079,8509680.388,12,370.5490112,3.450353007,1,,,1672.956476
6414,244758.7546,8510665.38,35,376.0190125,4.383664779,1,,,706.9762863
6415,244725.2074,8511650.37,5,392.5960083,1.924447857,1,,,79.56004416
6416,244691.666,8512635.357,0,398.0230103,4.045772102,1,,,57.97404648
6417,244658.1307,8513620.341,0,476.178009,16.50146372,1,,,220.9963183
6418,244624.6013,8514605.322,0,578.3629761,39.2102406,1,,,418.650045
6419,244591.078,8515590.3,0,716.6489868,16.69620732,1,,,900.7864421
6420,244557.5607,8516575.275,0,559.3670044,5.182638271,1,,,1020.320499
6421,244524.0493,8517560.247,0,652.3099976,10.47448281,1,,,823.033482
6422,244490.5439,8518545.217,14,574.6690063,8.913428408,1,,,172.2160741
6423,244457.0445,8519530.184,0,677.9719849,8.541834137,1,,,413.7486304
6424,244423.5512,8520515.148,0,497.980011,10.49130369,1,,,306.9021843
6425,244390.0638,8521500.109,0,464.9949951,22.42664393,1,,,370.906343
6426,244356.5824,8522485.067,0,377.6289978,2.633594052,1,,,859.2821443
6427,244323.1071,8523470.023,0,386.6380005,8.790383736,5,,,1599.82703
6428,244289.6377,8524454.976,0,403.0859985,17.1853024,1,,,2511.406423
6429,244256.1744,8525439.927,0,435.5109863,11.76170954,1,,,3377.813148
6430,244222.717,8526424.874,2,415.0499878,17.54120225,5,,,3631.773027
6431,244127.1362,8527338.974,0,421.4630127,10.74234116,5,,,3945.244961
6432,243786.7707,8527951.998,0,337.5700073,2.808840974,5,,,4037.055211
6433,247255.4705,8467355.926,0,1026.449951,16.29480806,1,,,1474.158612
6434,247221.6665,8468341.063,0,962.6920166,7.823307171,5,,,899.5146433
6435,247187.8684,8469326.197,0,1072.130005,21.76808926,5,,,694.1847372
6436,247154.0761,8470311.327,0,1144.410034,7.749109951,5,,,1228.445947
6437,246985.2033,8475236.917,0,831.0510254,3.891898983,1,,,836.7113066
6438,246951.4465,8476222.024,0,831.9019775,11.09032817,1,,,1809.108758
6439,246917.6955,8477207.126,0,861.0549927,3.713201002,1,,,2790.567156
6440,246883.9504,8478192.225,0,1017.799988,32.68093425,1,,,3774.020714
6441,246850.2112,8479177.32,0,1184.02002,4.078020639,1,,,4758.229897
6442,246816.478,8480162.411,0,1158.47998,2.51204086,1,,,4807.534787
6443,246782.7506,8481147.498,0,1121.77002,3.913912672,1,,,4373.618646
6444,246749.0292,8482132.582,0,1110.73999,2.801983538,1,,,4121.908843
6445,246715.3136,8483117.662,0,1148.76001,16.48684176,1,,,4027.981424
6446,246681.604,8484102.739,0,1085.550049,13.09574126,1,,,3969.927637
6447,246647.9003,8485087.811,0,940.8380127,4.465489567,1,,,4071.148788
6448,246614.2025,8486072.88,0,859.7680054,9.823110403,5,,,4396.548638
6449,246580.5106,8487057.946,0,730.5100098,18.71897464,5,,,4901.679746
6450,246546.8246,8488043.008,0,675.7529907,4.759222166,5,,,5537.571892
6451,246513.1446,8489028.066,0,745.039978,12.47698601,5,,,6264.529604
6452,246479.4705,8490013.121,0,749.6729736,11.01806346,5,,,7054.454386
6453,246445.8023,8490998.173,0,662.526001,15.53485291,5,,,7431.584089
6454,246412.1401,8491983.221,0,687.1530151,12.17033819,5,,,7487.138632
6455,246378.4837,8492968.265,0,450.4249878,6.92541888,5,,,7669.902023
6456,246344.8333,8493953.306,0,452.5150146,10.85470011,5,,,7103.090209
6457,246311.1888,8494938.344,0,452.5859985,16.2979623,5,,,6455.409931
6458,246277.5503,8495923.378,0,606.2340088,23.09331259,1,,,5901.871992
6459,246243.9176,8496908.409,0,681.8359985,27.76437901,1,,,5372.379745
6460,246210.291,8497893.437,0,719.0599976,30.13565522,1,,,4876.254025
6461,246176.6702,8498878.461,0,692.7109985,30.87577832,1,,,4508.05587
6462,246143.0554,8499863.482,0,587.1680298,2.429571543,1,,,4057.710498
6463,246109.4466,8500848.5,0,726.0440063,17.6761433,1,,,3677.015953
6464,246075.8436,8501833.514,0,682.0750122,15.6368227,1,,,3357.651782
6465,246042.2467,8502818.526,0,503.1350098,15.82074913,1,,,3215.792568
6466,246008.6557,8503803.534,0,411.3309937,13.50189682,1,,,2559.312958
6467,245975.0706,8504788.539,2,451.4630127,19.61220577,1,,,1994.716736
6468,245941.4915,8505773.541,22,367.375,2.547831119,1,,,1668.672579
6469,245907.9183,8506758.539,1,369.855011,1.047623395,1,,,1217.522324
6470,245874.351,8507743.535,29,390.1319885,6.44237148,1,,,947.1968942
6471,245840.7898,8508728.528,0,400.4670105,12.96628067,1,,,1153.222142
6472,245807.2345,8509713.517,12,360.151001,2.180569669,1,,,1192.492854
6473,245773.6851,8510698.504,23,365.7929993,2.016226569,1,,,948.0128665
6474,245740.1417,8511683.487,0,375.0799866,5.295382904,1,,,25.28243539
6475,245706.6043,8512668.468,0,491.0409851,4.315978278,1,,,932.5094845
6476,245673.0728,8513653.445,0,577.7969971,8.471722296,1,,,604.7172128
6477,245639.5473,8514638.42,0,452.4979858,10.27675981,1,,,385.4985414
6478,245606.0278,8515623.392,0,418.7630005,5.756591638,5,,,90.08639123
6479,245572.5142,8516608.361,0,465.355011,23.75514884,1,,,49.62995379
6480,245539.0066,8517593.327,0,605.1329956,16.74133498,1,,,178.6246859
6481,245505.505,8518578.29,1,603.3900146,14.14134032,1,,,245.9480967
6482,245472.0093,8519563.251,11,564.0700073,18.26051681,5,,,309.5440634
6483,245438.5196,8520548.209,2,424.4490051,11.33745759,1,,,1220.784479
6484,245405.0359,8521533.164,0,356.4649963,2.569549823,5,,,1263.882141
6485,245355.4157,8522495.532,5,349.8829956,2.310817461,5,,,1736.411316
6486,245000.6209,8523472.482,10,360.821991,8.756622767,5,,,1991.416121
6487,245002.4123,8524501.058,21,353.0899963,4.926513175,1,,,2827.812494
6488,245139.9741,8525521.708,7,350.7030029,3.645763486,5,,,3804.973899
6489,245216.7815,8526442.243,10,343.6560059,2.137138657,1,,,4579.700046
6490,248270.1982,8467389.314,0,1036.540039,15.99554821,1,,,739.3839391
6491,248236.3992,8468374.445,0,1023.429993,17.68698704,1,,,1495.043283
6492,248202.606,8469359.573,0,1106.27002,10.92469633,1,,,1659.61104
6493,247999.9703,8475270.256,0,777.6859741,8.112537005,1,,,1459.375646
6494,247966.2182,8476255.356,0,794.1309814,2.661605411,1,,,2167.889974
6495,247932.472,8477240.453,0,888.9689941,32.65563217,1,,,3035.015201
6496,247898.7317,8478225.545,0,805.1729736,14.63820431,1,,,3957.835751
6497,247864.9973,8479210.634,0,800.0510254,10.03035522,1,,,4905.013882
6498,247831.2687,8480195.719,0,995.697998,19.77545291,1,,,5699.418693
6499,247797.5461,8481180.801,0,1198.939941,7.903912162,1,,,5333.8378
6500,247763.8292,8482165.878,0,1190.01001,9.66598169,1,,,5128.41829
6501,247696.4133,8484136.022,0,1027.829956,15.60853686,1,,,4984.745827
6502,247662.7142,8485121.089,0,1003.590027,27.78314259,1,,,5065.453952
6503,247629.0209,8486106.152,0,980.151001,10.30957388,1,,,5330.23598
6504,247595.3336,8487091.211,0,911.1010132,9.717812016,5,,,5753.733041
6505,247561.6521,8488076.267,0,851.0560303,14.48979463,5,,,6304.037186
6506,247527.9766,8489061.319,0,759.8660278,9.943620652,5,,,6951.094547
6507,247494.3069,8490046.368,0,741.6199951,15.99740025,5,,,7670.457095
6508,247460.6431,8491031.413,0,679.8889771,18.56046703,5,,,8443.663431
6509,247426.9853,8492016.455,0,626.6870117,18.67448785,5,,,7899.71647
6510,247393.3333,8493001.493,0,596.4589844,31.48207784,5,,,7120.221749
6511,247359.6872,8493986.528,0,483.8299866,9.614287302,1,,,6397.732895
6512,247326.0471,8494971.56,0,429.7059937,6.033615833,5,,,5689.567181
6513,247292.4129,8495956.588,0,433.5159912,8.594602386,5,,,5052.531665
6514,247258.7845,8496941.613,0,506.4119873,9.692343242,1,,,4559.196556
6515,247225.1621,8497926.634,0,598.0479736,8.324002312,1,,,3983.527478
6516,247191.5456,8498911.652,0,749.7990112,39.30861136,1,,,3557.532216
6517,247157.935,8499896.667,0,589.9240112,30.99812973,1,,,3167.891114
6518,247124.3303,8500881.679,0,504.2319946,7.65974391,1,,,2728.714153
6519,247090.7315,8501866.687,0,509.6669922,5.942637183,1,,,2403.908778
6520,247057.1387,8502851.692,0,533.9730225,17.33204107,1,,,2200.77499
6521,247023.5518,8503836.694,0,544.7059937,17.62360842,1,,,1850.365859
6522,246989.9708,8504821.693,3,441.2489929,10.84047576,1,,,1150.510964
6523,246956.3957,8505806.689,11,398.8599854,5.96689636,1,,,694.1154085
6524,246922.8266,8506791.681,3,376.4609985,4.241778213,1,,,380.7912685
6525,246889.2634,8507776.671,0,385.1730042,7.724174986,1,,,24.84197423
6526,246855.7061,8508761.657,2,359.0140076,0.658571781,1,,,315.3371732
6527,246822.1547,8509746.64,18,359.9030151,2.24092798,1,,,216.5690117
